K1;K2;Num
0,6802;0,3198;9
0,9999;0,0001;9
0,9999;0,0001;9
0,9529;0,0471;9
0,9999;0,0001;9
0,9999;0,0001;9
0,7203;0,2797;9
0,2934;0,7066;9
0,0001;0,9999;9
0,0001;0,9999;9
